[\\mb-fps3\Data\Data_T2\Res_Sa2_25\San_Lea_25.225|0|0],"","",""
MJRAW.SLIPA[5].TtwrawA466,"99,567","25,000","Schedule 511 – Total revenue for the year"
MJRAW.SLIPA[5].TtwrawA153,"1167572404","1167572404","Québec enterprise number (NEQ)"
MJRAW.SLIPA[5].TtwrawA154,"1218009090 IC 0001","1218009090 IC 0001","Québec identification number"
MJRAW.SLIPA[5].TtwrawA469,"66,957","93,608","Paid-up capital of the second prior taxation year"
MJRAW.SLIPA[5].TtwrawA470,"34,997","66,957","Paid-up capital of prior taxation year"
MJRAW.SLIPA[5].TtwrawA13,"246,246","217,059","Assets as per the financial statements of the second prior taxation year"
MJRAW.SLIPA[5].TtwrawA162,"President","President","Title or position of authorized representative"
MJRAW.SLIPA[5].TtwrawA574,"120,000","48,000","Gross revenue of the corporation for the second preceding taxation year"
MJRAW.SLIPA[6].TtwrawA344,"Y","Y","Always keep the link and offer to restore it when in error"
MJRAW.SLIPA[6].TtwrawA16,"1","1","Association code"
MJRAW.SLIPA[6].TtwrawA458,"7,374,910","4,330,504","Taxable capital employed in Canada for the preceding taxation year"
MJRAW.SLIPA[6].TtwrawA524,"0","0","Taxable income of prior taxation year"
MJRAW.SLIPA[6].TtwrawA22,"0","0","Reduced business limit of the last taxation year ending in the preceding calendar year"
MJRAW.SLIPA[6].TtwrawA601,"","0.00000","Percentage assigned"
MJRAW.SLIPA[6].TtwrawA195,"0.000000","0.000000","Percentage of the business limit"
MJRAW.SLIPA[6].TtwrawA372,"7,374,910","4,330,504","Taxable capital employed in Canada in the last taxation year"
MJRAW.SLIPA[6].TtwrawA308,"0","0","Total adjusted aggregate investment income for taxation years that end in the preceding calendar year"
MJRAW.SLIPA[6].TtwrawA460,"7,602,354","4,475,715","Assets as per the financial statements of the prior taxation year"
MJRAW.SLIPA[6].TtwrawA527,"1.000000","1.000000","Percentage allocated"
MJRAW.SLIPA[6].TtwrawA279,"President","President","Position or title of authorized representative"
MJRAW.SLIPA[6].TtwrawA491,"President","President","Title or position of authorized representative"
MJRAW.SLIPA[6].TtwrawA472,"President","President","Title or position of authorized representative"
MJRAW.SLIPA[6].TtwrawA575,"188,197","232,173","Gross revenue of the corporation for the preceding taxation year"
MJRAW.SLIPA[6].TtwrawA482,"50,000","50,000","Allocation of the basic amount for the taxation year"
MJRAW.SLIPA[6].TtwrawA484,"President","President","Title or position of authorized representative"
MJRAW.SLIPA[6].TtwrawA159,"2023-04-01","2022-04-01","Previous taxation year-start"
MJRAW.SLIPA[6].TtwrawA160,"2024-03-31","2023-03-31","Previous taxation year-end"
MJRAW.SLIPA[6].TtwrawA522,"President","President","Title or position of authorized representative"
MJRAW.SLIPA[6].TtwrawA1,"9366-1676 Quebec Inc.","9366-1676 Quebec Inc.","Name of associated eligible persons and partnerships"
MJRAW.SLIPA[6].TtwrawA3,"79253 9314 RC0001","79253 9314 RC0001","Business number of the associated corporations"
MJRAW.SLIPA[6].TtwrawA196,"2024-04-01","2023-04-01","Taxation year-start"
MJRAW.SLIPA[6].TtwrawA74,"2025-03-31","2024-03-31","Taxation year-end"
MJRAW.SLIPA[6].TtwrawA459,"7,345,159","7,374,910","Taxable capital employed in Canada for the year"
MJRAW.SLIPA[6].TtwrawA463,"7,602,354","4,475,715","Schedule 511 – Total assets in the last taxation year"
MJRAW.SLIPA[6].TtwrawA464,"7,654,497","7,602,354","Schedule 511 – Total assets for the year"
MJRAW.SLIPA[6].TtwrawA465,"188,197","232,173","Schedule 511 – Total revenue in the last taxation year"
MJRAW.SLIPA[6].TtwrawA466,"190,151","188,197","Schedule 511 – Total revenue for the year"
MJRAW.SLIPA[6].TtwrawA153,"1173081671","1173081671","Québec enterprise number (NEQ)"
MJRAW.SLIPA[6].TtwrawA154,"1225059795 IC 0001","1225059795 IC 0001","Québec identification number"
MJRAW.SLIPA[6].TtwrawA469,"4,331,646","4,266,119","Paid-up capital of the second prior taxation year"
MJRAW.SLIPA[6].TtwrawA470,"7,376,287","4,331,646","Paid-up capital of prior taxation year"
MJRAW.SLIPA[6].TtwrawA13,"4,475,715","4,385,524","Assets as per the financial statements of the second prior taxation year"
MJRAW.SLIPA[6].TtwrawA162,"President","President","Title or position of authorized representative"
MJRAW.SLIPA[6].TtwrawA574,"232,173","256,056","Gross revenue of the corporation for the second preceding taxation year"
MJRAW.SLIPA[7].TtwrawA344,"Y","Y","Always keep the link and offer to restore it when in error"
MJRAW.SLIPA[7].TtwrawA16,"1","1","Association code"
MJRAW.SLIPA[7].TtwrawA458,"444,750","315,049","Taxable capital employed in Canada for the preceding taxation year"
MJRAW.SLIPA[7].TtwrawA524,"100,407","500,313","Taxable income of prior taxation year"
MJRAW.SLIPA[7].TtwrawA22,"250,000","340,000","Reduced business limit of the last taxation year ending in the preceding calendar year"
MJRAW.SLIPA[7].TtwrawA601,"","0.30000","Percentage assigned"
MJRAW.SLIPA[7].TtwrawA195,"0.400000","0.500000","Percentage of the business limit"
MJRAW.SLIPA[7].TtwrawA372,"444,750","315,049","Taxable capital employed in Canada in the last taxation year"
MJRAW.SLIPA[7].TtwrawA308,"0","0","Total adjusted aggregate investment income for taxation years that end in the preceding calendar year"
MJRAW.SLIPA[7].TtwrawA460,"1,689,416","2,473,906","Assets as per the financial statements of the prior taxation year"
MJRAW.SLIPA[7].TtwrawA527,"1.000000","1.000000","Percentage allocated"
MJRAW.SLIPA[7].TtwrawA307,"59,894","61,397","Number of paid hours of the employees of the corporation, calculated for previous taxation year"
MJRAW.SLIPA[7].TtwrawA279,"Officer","Officer","Position or title of authorized representative"
MJRAW.SLIPA[7].TtwrawA491,"Officer","Officer","Title or position of authorized representative"
MJRAW.SLIPA[7].TtwrawA472,"Officer","Officer","Title or position of authorized representative"
MJRAW.SLIPA[7].TtwrawA575,"3,945,668","4,192,108","Gross revenue of the corporation for the preceding taxation year"
MJRAW.SLIPA[7].TtwrawA482,"50,000","50,000","Allocation of the basic amount for the taxation year"
MJRAW.SLIPA[7].TtwrawA484,"Officer","Officer","Title or position of authorized representative"
MJRAW.SLIPA[7].TtwrawA159,"2023-04-01","2022-04-01","Previous taxation year-start"
MJRAW.SLIPA[7].TtwrawA160,"2024-03-31","2023-03-31","Previous taxation year-end"
MJRAW.SLIPA[7].TtwrawA522,"Officer","Officer","Title or position of authorized representative"
MJRAW.SLIPA[7].TtwrawA1,"9366-1049 Québec Inc.","9366-1049 Québec Inc.","Name of associated eligible persons and partnerships"
MJRAW.SLIPA[7].TtwrawA3,"78955 5489 RC0001","78955 5489 RC0001","Business number of the associated corporations"
MJRAW.SLIPA[7].TtwrawA196,"2024-04-01","2023-04-01","Taxation year-start"
MJRAW.SLIPA[7].TtwrawA74,"2025-03-31","2024-03-31","Taxation year-end"
MJRAW.SLIPA[7].TtwrawA459,"770,505","444,750","Taxable capital employed in Canada for the year"
MJRAW.SLIPA[7].TtwrawA463,"1,689,416","2,473,906","Schedule 511 – Total assets in the last taxation year"
MJRAW.SLIPA[7].TtwrawA464,"1,758,770","1,689,416","Schedule 511 – Total assets for the year"
MJRAW.SLIPA[7].TtwrawA465,"3,945,668","4,192,108","Schedule 511 – Total revenue in the last taxation year"
MJRAW.SLIPA[7].TtwrawA466,"4,041,335","3,945,668","Schedule 511 – Total revenue for the year"
MJRAW.SLIPA[7].TtwrawA153,"1173078958","1173078958","Québec enterprise number (NEQ)"
MJRAW.SLIPA[7].TtwrawA154,"1225056770 IC 0001","1225056770 IC 0001","Québec identification number"
MJRAW.SLIPA[7].TtwrawA469,"509,742","774,009","Paid-up capital of the second prior taxation year"
MJRAW.SLIPA[7].TtwrawA470,"659,516","509,742","Paid-up capital of prior taxation year"
MJRAW.SLIPA[7].TtwrawA13,"2,473,906","1,567,228","Assets as per the financial statements of the second prior taxation year"
MJRAW.SLIPA[7].TtwrawA162,"Officer","Officer","Title or position of authorized representative"
MJRAW.SLIPA[7].TtwrawA574,"4,192,108","3,279,636","Gross revenue of the corporation for the second preceding taxation year"
MJRAW.SLIPA[8].TtwrawA344,"Y","Y","Always keep the link and offer to restore it when in error"
MJRAW.SLIPA[8].TtwrawA16,"1","1","Association code"
MJRAW.SLIPA[8].TtwrawA458,"789,022","990,827","Taxable capital employed in Canada for the preceding taxation year"
MJRAW.SLIPA[8].TtwrawA524,"100,607","56,318","Taxable income of prior taxation year"
MJRAW.SLIPA[8].TtwrawA22,"100,000","0","Reduced business limit of the last taxation year ending in the preceding calendar year"
MJRAW.SLIPA[8].TtwrawA601,"","0.00000","Percentage assigned"
MJRAW.SLIPA[8].TtwrawA195,"0.220000","0.200000","Percentage of the business limit"
MJRAW.SLIPA[8].TtwrawA372,"789,022","990,827","Taxable capital employed in Canada in the last taxation year"
MJRAW.SLIPA[8].TtwrawA308,"14,911","15,252","Total adjusted aggregate investment income for taxation years that end in the preceding calendar year"
MJRAW.SLIPA[8].TtwrawA460,"3,039,118","2,326,912","Assets as per the financial statements of the prior taxation year"
MJRAW.SLIPA[8].TtwrawA527,"1.000000","1.000000","Percentage allocated"
MJRAW.SLIPA[8].TtwrawA307,"","138,833","Number of paid hours of the employees of the corporation, calculated for previous taxation year"
MJRAW.SLIPA[8].TtwrawA279,"Secretary","Secretary","Position or title of authorized representative"
MJRAW.SLIPA[8].TtwrawA491,"Secretary","Secretary","Title or position of authorized representative"
MJRAW.SLIPA[8].TtwrawA472,"Secretary","Secretary","Title or position of authorized representative"
MJRAW.SLIPA[8].TtwrawA575,"310,084","228,806","Gross revenue of the corporation for the preceding taxation year"
MJRAW.SLIPA[8].TtwrawA482,"50,000","50,000","Allocation of the basic amount for the taxation year"
MJRAW.SLIPA[8].TtwrawA484,"Secretary","Secretary","Title or position of authorized representative"
MJRAW.SLIPA[8].TtwrawA159,"2023-04-01","2022-04-01","Previous taxation year-start"
MJRAW.SLIPA[8].TtwrawA160,"2024-03-31","2023-03-31","Previous taxation year-end"
MJRAW.SLIPA[8].TtwrawA522,"Secretary","Secretary","Title or position of authorized representative"
MJRAW.SLIPA[8].TtwrawA1,"9425-4547 Québec Inc.","9425-4547 Québec Inc.","Name of associated eligible persons and partnerships"
MJRAW.SLIPA[8].TtwrawA3,"70149 5335 RC0001","70149 5335 RC0001","Business number of the associated corporations"
MJRAW.SLIPA[8].TtwrawA196,"2024-04-01","2023-04-01","Taxation year-start"
MJRAW.SLIPA[8].TtwrawA74,"2025-03-31","2024-03-31","Taxation year-end"
MJRAW.SLIPA[8].TtwrawA459,"832,617","789,022","Taxable capital employed in Canada for the year"
MJRAW.SLIPA[8].TtwrawA463,"3,039,118","2,326,912","Schedule 511 – Total assets in the last taxation year"
MJRAW.SLIPA[8].TtwrawA464,"3,600,974","3,039,118","Schedule 511 – Total assets for the year"
MJRAW.SLIPA[8].TtwrawA465,"310,084","228,806","Schedule 511 – Total revenue in the last taxation year"
MJRAW.SLIPA[8].TtwrawA466,"357,332","310,084","Schedule 511 – Total revenue for the year"
MJRAW.SLIPA[8].TtwrawA153,"1175794594","1175794594","Québec enterprise number (NEQ)"
MJRAW.SLIPA[8].TtwrawA154,"1227821724 IC 0001","1227821724 IC 0001","Québec identification number"
MJRAW.SLIPA[8].TtwrawA469,"1,036,269","719,338","Paid-up capital of the second prior taxation year"
MJRAW.SLIPA[8].TtwrawA470,"837,651","1,036,269","Paid-up capital of prior taxation year"
MJRAW.SLIPA[8].TtwrawA13,"2,326,912","1,778,387","Assets as per the financial statements of the second prior taxation year"
MJRAW.SLIPA[8].TtwrawA162,"Secretary","Secretary","Title or position of authorized representative"
MJRAW.SLIPA[8].TtwrawA574,"228,806","85,674","Gross revenue of the corporation for the second preceding taxation year"
MJRAW.SLIPA[9].TtwrawA344,"Y","Y","Always keep the link and offer to restore it when in error"
MJRAW.SLIPA[9].TtwrawA16,"1","1","Association code"
MJRAW.SLIPA[9].TtwrawA458,"2,242","0","Taxable capital employed in Canada for the preceding taxation year"
MJRAW.SLIPA[9].TtwrawA524,"0","0","Taxable income of prior taxation year"
MJRAW.SLIPA[9].TtwrawA22,"0","0","Reduced business limit of the last taxation year ending in the preceding calendar year"
MJRAW.SLIPA[9].TtwrawA601,"","0.00000","Percentage assigned"
MJRAW.SLIPA[9].TtwrawA195,"","0.000000","Percentage of the business limit"
MJRAW.SLIPA[9].TtwrawA372,"2,242","0","Taxable capital employed in Canada in the last taxation year"
MJRAW.SLIPA[9].TtwrawA308,"0","0","Total adjusted aggregate investment income for taxation years that end in the preceding calendar year"
MJRAW.SLIPA[9].TtwrawA460,"2,242","460","Assets as per the financial statements of the prior taxation year"
MJRAW.SLIPA[9].TtwrawA527,"1.000000","1.000000","Percentage allocated"
MJRAW.SLIPA[9].TtwrawA279,"President","President","Position or title of authorized representative"
MJRAW.SLIPA[9].TtwrawA491,"President","President","Title or position of authorized representative"
MJRAW.SLIPA[9].TtwrawA472,"President","President","Title or position of authorized representative"
MJRAW.SLIPA[9].TtwrawA575,"","31,929","Gross revenue of the corporation for the preceding taxation year"
MJRAW.SLIPA[9].TtwrawA482,"50,000","50,000","Allocation of the basic amount for the taxation year"
MJRAW.SLIPA[9].TtwrawA484,"President","President","Title or position of authorized representative"
MJRAW.SLIPA[9].TtwrawA159,"2023-04-01","2022-04-01","Previous taxation year-start"
MJRAW.SLIPA[9].TtwrawA160,"2024-03-31","2023-03-31","Previous taxation year-end"
MJRAW.SLIPA[9].TtwrawA522,"President","President","Title or position of authorized representative"
MJRAW.SLIPA[9].TtwrawA1,"9357-7427 Québec Inc.","9357-7427 Québec Inc.","Name of associated eligible persons and partnerships"
MJRAW.SLIPA[9].TtwrawA3,"72098 0895 RC0001","72098 0895 RC0001","Business number of the associated corporations"
MJRAW.SLIPA[9].TtwrawA196,"2024-04-01","2023-04-01","Taxation year-start"
MJRAW.SLIPA[9].TtwrawA74,"2025-03-31","2024-03-31","Taxation year-end"
MJRAW.SLIPA[9].TtwrawA459,"967","2,242","Taxable capital employed in Canada for the year"
MJRAW.SLIPA[9].TtwrawA463,"2,242","460","Schedule 511 – Total assets in the last taxation year"
MJRAW.SLIPA[9].TtwrawA464,"207,467","2,242","Schedule 511 – Total assets for the year"
MJRAW.SLIPA[9].TtwrawA153,"1172652902","1172652902","Québec enterprise number (NEQ)"
MJRAW.SLIPA[9].TtwrawA154,"1224631282 IC 0001","1224631282 IC 0001","Québec identification number"
MJRAW.SLIPA[9].TtwrawA470,"2,242","","Paid-up capital of prior taxation year"
MJRAW.SLIPA[9].TtwrawA13,"460","335","Assets as per the financial statements of the second prior taxation year"
MJRAW.SLIPA[9].TtwrawA162,"President","President","Title or position of authorized representative"
MJRAW.SLIPA[9].TtwrawA574,"31,929","","Gross revenue of the corporation for the second preceding taxation year"
MJRAW.SLIPA[10].TtwrawA344,"Y","Y","Always keep the link and offer to restore it when in error"
MJRAW.SLIPA[10].TtwrawA16,"1","1","Association code"
MJRAW.SLIPA[10].TtwrawA458,"125","186","Taxable capital employed in Canada for the preceding taxation year"
MJRAW.SLIPA[10].TtwrawA524,"0","0","Taxable income of prior taxation year"
MJRAW.SLIPA[10].TtwrawA22,"0","0","Reduced business limit of the last taxation year ending in the preceding calendar year"
MJRAW.SLIPA[10].TtwrawA601,"","0.00000","Percentage assigned"
MJRAW.SLIPA[10].TtwrawA195,"0.000000","0.000000","Percentage of the business limit"
MJRAW.SLIPA[10].TtwrawA372,"125","186","Taxable capital employed in Canada in the last taxation year"
MJRAW.SLIPA[10].TtwrawA308,"0","0","Total adjusted aggregate investment income for taxation years that end in the preceding calendar year"
MJRAW.SLIPA[10].TtwrawA460,"163","236","Assets as per the financial statements of the prior taxation year"
MJRAW.SLIPA[10].TtwrawA527,"1.000000","1.000000","Percentage allocated"
MJRAW.SLIPA[10].TtwrawA279,"Administrator","Administrator","Position or title of authorized representative"
MJRAW.SLIPA[10].TtwrawA491,"Administrator","Administrator","Title or position of authorized representative"
MJRAW.SLIPA[10].TtwrawA472,"Administrator","Administrator","Title or position of authorized representative"
MJRAW.SLIPA[10].TtwrawA482,"50,000","50,000","Allocation of the basic amount for the taxation year"
MJRAW.SLIPA[10].TtwrawA484,"Administrator","Administrator","Title or position of authorized representative"
MJRAW.SLIPA[10].TtwrawA159,"2023-04-01","2022-04-01","Previous taxation year-start"
MJRAW.SLIPA[10].TtwrawA160,"2024-03-31","2023-03-31","Previous taxation year-end"
MJRAW.SLIPA[10].TtwrawA522,"Administrator","Administrator","Title or position of authorized representative"
MJRAW.SLIPA[10].TtwrawA1,"9455-4169 Quebec Inc.","9455-4169 Quebec Inc.","Name of associated eligible persons and partnerships"
MJRAW.SLIPA[10].TtwrawA3,"70279 0007 RC0001","70279 0007 RC0001","Business number of the associated corporations"
MJRAW.SLIPA[10].TtwrawA196,"2024-04-01","2023-04-01","Taxation year-start"
MJRAW.SLIPA[10].TtwrawA74,"2025-03-31","2024-03-31","Taxation year-end"
MJRAW.SLIPA[10].TtwrawA459,"5,054","125","Taxable capital employed in Canada for the year"
MJRAW.SLIPA[10].TtwrawA463,"163","236","Schedule 511 – Total assets in the last taxation year"
MJRAW.SLIPA[10].TtwrawA464,"5,092","175","Schedule 511 – Total assets for the year"
MJRAW.SLIPA[10].TtwrawA153,"1177146181","1177146181","Québec enterprise number (NEQ)"
MJRAW.SLIPA[10].TtwrawA154,"1229112305 IC 0001","1229112305 IC 0001","Québec identification number"
MJRAW.SLIPA[10].TtwrawA469,"186","240","Paid-up capital of the second prior taxation year"
MJRAW.SLIPA[10].TtwrawA470,"125","186","Paid-up capital of prior taxation year"
MJRAW.SLIPA[10].TtwrawA13,"236","290","Assets as per the financial statements of the second prior taxation year"
MJRAW.SLIPA[10].TtwrawA162,"Administrator","Administrator","Title or position of authorized representative"
MJRAW.SLIPA[11].TtwrawA344,"Y","Y","Always keep the link and offer to restore it when in error"
MJRAW.SLIPA[11].TtwrawA16,"1","1","Association code"
MJRAW.SLIPA[11].TtwrawA458,"490","236","Taxable capital employed in Canada for the preceding taxation year"
MJRAW.SLIPA[11].TtwrawA524,"0","0","Taxable income of prior taxation year"
MJRAW.SLIPA[11].TtwrawA22,"0","0","Reduced business limit of the last taxation year ending in the preceding calendar year"
MJRAW.SLIPA[11].TtwrawA601,"","0.00000","Percentage assigned"
MJRAW.SLIPA[11].TtwrawA195,"0.000000","0.000000","Percentage of the business limit"
MJRAW.SLIPA[11].TtwrawA372,"490","236","Taxable capital employed in Canada in the last taxation year"
MJRAW.SLIPA[11].TtwrawA308,"0","0","Total adjusted aggregate investment income for taxation years that end in the preceding calendar year"
MJRAW.SLIPA[11].TtwrawA460,"540","286","Assets as per the financial statements of the prior taxation year"
MJRAW.SLIPA[11].TtwrawA527,"1.000000","1.000000","Percentage allocated"
MJRAW.SLIPA[11].TtwrawA279,"Administrator","Administrator","Position or title of authorized representative"
MJRAW.SLIPA[11].TtwrawA491,"Administrator","Administrator","Title or position of authorized representative"
MJRAW.SLIPA[11].TtwrawA472,"Administrator","Administrator","Title or position of authorized representative"
MJRAW.SLIPA[11].TtwrawA482,"50,000","50,000","Allocation of the basic amount for the taxation year"
MJRAW.SLIPA[11].TtwrawA484,"Administrator","Administrator","Title or position of authorized representative"
MJRAW.SLIPA[11].TtwrawA159,"2023-04-01","2022-04-01","Previous taxation year-start"
MJRAW.SLIPA[11].TtwrawA160,"2024-03-31","2023-03-31","Previous taxation year-end"
MJRAW.SLIPA[11].TtwrawA522,"Administrator","Administrator","Title or position of authorized representative"
MJRAW.SLIPA[11].TtwrawA1,"9455-4177 Quebec Inc.","9455-4177 Quebec Inc.","Name of associated eligible persons and partnerships"
MJRAW.SLIPA[11].TtwrawA3,"70782 5105 RC0001","70782 5105 RC0001","Business number of the associated corporations"
MJRAW.SLIPA[11].TtwrawA196,"2024-04-01","2023-04-01","Taxation year-start"
MJRAW.SLIPA[11].TtwrawA74,"2025-03-31","2024-03-31","Taxation year-end"
MJRAW.SLIPA[11].TtwrawA459,"419","490","Taxable capital employed in Canada for the year"
MJRAW.SLIPA[11].TtwrawA463,"540","286","Schedule 511 – Total assets in the last taxation year"
MJRAW.SLIPA[11].TtwrawA464,"469","540","Schedule 511 – Total assets for the year"
MJRAW.SLIPA[11].TtwrawA153,"1177146199","1177146199","Québec enterprise number (NEQ)"
MJRAW.SLIPA[11].TtwrawA154,"1229112313 IC 0001","1229112313 IC 0001","Québec identification number"
MJRAW.SLIPA[11].TtwrawA469,"236","290","Paid-up capital of the second prior taxation year"
MJRAW.SLIPA[11].TtwrawA470,"490","236","Paid-up capital of prior taxation year"
MJRAW.SLIPA[11].TtwrawA13,"286","340","Assets as per the financial statements of the second prior taxation year"
MJRAW.SLIPA[11].TtwrawA162,"Administrator","Administrator","Title or position of authorized representative"
MJRAW.SLIPA[12].TtwrawA344,"Y","Y","Always keep the link and offer to restore it when in error"
MJRAW.SLIPA[12].TtwrawA16,"1","1","Association code"
MJRAW.SLIPA[12].TtwrawA458,"214,294","4,901","Taxable capital employed in Canada for the preceding taxation year"
MJRAW.SLIPA[12].TtwrawA524,"0","0","Taxable income of prior taxation year"
MJRAW.SLIPA[12].TtwrawA22,"0","0","Reduced business limit of the last taxation year ending in the preceding calendar year"
MJRAW.SLIPA[12].TtwrawA601,"","0.00000","Percentage assigned"
MJRAW.SLIPA[12].TtwrawA195,"0.000000","0.000000","Percentage of the business limit"
MJRAW.SLIPA[12].TtwrawA372,"214,294","4,901","Taxable capital employed in Canada in the last taxation year"
MJRAW.SLIPA[12].TtwrawA308,"0","0","Total adjusted aggregate investment income for taxation years that end in the preceding calendar year"
MJRAW.SLIPA[12].TtwrawA460,"5,534,032","3,105,035","Assets as per the financial statements of the prior taxation year"
MJRAW.SLIPA[12].TtwrawA527,"1.000000","1.000000","Percentage allocated"
MJRAW.SLIPA[12].TtwrawA307,"","138,833","Number of paid hours of the employees of the corporation, calculated for previous taxation year"
MJRAW.SLIPA[12].TtwrawA279,"Administrator","Administrator","Position or title of authorized representative"
MJRAW.SLIPA[12].TtwrawA491,"Administrator","Administrator","Title or position of authorized representative"
MJRAW.SLIPA[12].TtwrawA472,"Administrator","Administrator","Title or position of authorized representative"
MJRAW.SLIPA[12].TtwrawA575,"1,569,421","","Gross revenue of the corporation for the preceding taxation year"
MJRAW.SLIPA[12].TtwrawA482,"50,000","50,000","Allocation of the basic amount for the taxation year"
MJRAW.SLIPA[12].TtwrawA484,"Administrator","Administrator","Title or position of authorized representative"
MJRAW.SLIPA[12].TtwrawA159,"2023-04-01","2022-04-01","Previous taxation year-start"
MJRAW.SLIPA[12].TtwrawA160,"2024-03-31","2023-03-31","Previous taxation year-end"
MJRAW.SLIPA[12].TtwrawA522,"Administrator","Administrator","Title or position of authorized representative"
MJRAW.SLIPA[12].TtwrawA1,"9455-4201 Quebec inc.","9455-4201 Quebec inc.","Name of associated eligible persons and partnerships"
MJRAW.SLIPA[12].TtwrawA3,"70672 3806 RC0001","70672 3806 RC0001","Business number of the associated corporations"
MJRAW.SLIPA[12].TtwrawA196,"2024-04-01","2023-04-01","Taxation year-start"
MJRAW.SLIPA[12].TtwrawA74,"2025-03-31","2024-03-31","Taxation year-end"
MJRAW.SLIPA[12].TtwrawA459,"157,537","253,811","Taxable capital employed in Canada for the year"
MJRAW.SLIPA[12].TtwrawA463,"5,534,032","3,105,035","Schedule 511 – Total assets in the last taxation year"
MJRAW.SLIPA[12].TtwrawA464,"6,701,450","5,534,044","Schedule 511 – Total assets for the year"
MJRAW.SLIPA[12].TtwrawA465,"1,569,421","","Schedule 511 – Total revenue in the last taxation year"
MJRAW.SLIPA[12].TtwrawA466,"673,860","1,545,291","Schedule 511 – Total revenue for the year"
MJRAW.SLIPA[12].TtwrawA153,"1177146231","1177146231","Québec enterprise number (NEQ)"
MJRAW.SLIPA[12].TtwrawA154,"1229112348 IC 0001","1229112348 IC 0001","Québec identification number"
MJRAW.SLIPA[12].TtwrawA469,"4,901","5,041","Paid-up capital of the second prior taxation year"
MJRAW.SLIPA[12].TtwrawA470,"289,126","4,901","Paid-up capital of prior taxation year"
MJRAW.SLIPA[12].TtwrawA13,"3,105,035","205,177","Assets as per the financial statements of the second prior taxation year"
MJRAW.SLIPA[12].TtwrawA162,"Administrator","Administrator","Title or position of authorized representative"
MJRAW.SLIPA[13].TtwrawA344,"Y","Y","Always keep the link and offer to restore it when in error"
MJRAW.SLIPA[13].TtwrawA16,"1","1","Association code"
MJRAW.SLIPA[13].TtwrawA458,"1,655,230","1,940,857","Taxable capital employed in Canada for the preceding taxation year"
MJRAW.SLIPA[13].TtwrawA524,"0","0","Taxable income of prior taxation year"
MJRAW.SLIPA[13].TtwrawA22,"0","0","Reduced business limit of the last taxation year ending in the preceding calendar year"
MJRAW.SLIPA[13].TtwrawA601,"","0.50000","Percentage assigned"
MJRAW.SLIPA[13].TtwrawA195,"0.150000","0.000000","Percentage of the business limit"
MJRAW.SLIPA[13].TtwrawA372,"1,655,230","1,940,857","Taxable capital employed in Canada in the last taxation year"
MJRAW.SLIPA[13].TtwrawA308,"0","0","Total adjusted aggregate investment income for taxation years that end in the preceding calendar year"
MJRAW.SLIPA[13].TtwrawA460,"2,060,729","2,358,229","Assets as per the financial statements of the prior taxation year"
MJRAW.SLIPA[13].TtwrawA527,"1.000000","1.000000","Percentage allocated"
MJRAW.SLIPA[13].TtwrawA307,"76,223","15,463","Number of paid hours of the employees of the corporation, calculated for previous taxation year"
MJRAW.SLIPA[13].TtwrawA279,"President","President","Position or title of authorized representative"
MJRAW.SLIPA[13].TtwrawA491,"President","President","Title or position of authorized representative"
MJRAW.SLIPA[13].TtwrawA472,"President","President","Title or position of authorized representative"
MJRAW.SLIPA[13].TtwrawA575,"6,233,248","1,331,473","Gross revenue of the corporation for the preceding taxation year"
MJRAW.SLIPA[13].TtwrawA482,"50,000","50,000","Allocation of the basic amount for the taxation year"
MJRAW.SLIPA[13].TtwrawA484,"President","President","Title or position of authorized representative"
MJRAW.SLIPA[13].TtwrawA159,"2023-04-01","2022-04-01","Previous taxation year-start"
MJRAW.SLIPA[13].TtwrawA160,"2024-03-31","2023-03-31","Previous taxation year-end"
MJRAW.SLIPA[13].TtwrawA522,"President","President","Title or position of authorized representative"
MJRAW.SLIPA[13].TtwrawA1,"9455-8236 Québec Inc.","9455-8236 Québec Inc.","Name of associated eligible persons and partnerships"
MJRAW.SLIPA[13].TtwrawA3,"76020 1806 RC0001","76020 1806 RC0001","Business number of the associated corporations"
MJRAW.SLIPA[13].TtwrawA196,"2024-04-01","2023-04-01","Taxation year-start"
MJRAW.SLIPA[13].TtwrawA74,"2025-03-31","2024-03-31","Taxation year-end"
MJRAW.SLIPA[13].TtwrawA459,"1,528,577","546,388","Taxable capital employed in Canada for the year"
MJRAW.SLIPA[13].TtwrawA463,"2,060,729","2,358,229","Schedule 511 – Total assets in the last taxation year"
MJRAW.SLIPA[13].TtwrawA464,"1,866,499","2,060,729","Schedule 511 – Total assets for the year"
MJRAW.SLIPA[13].TtwrawA465,"6,233,248","1,331,473","Schedule 511 – Total revenue in the last taxation year"
MJRAW.SLIPA[13].TtwrawA466,"5,213,629","6,233,248","Schedule 511 – Total revenue for the year"
MJRAW.SLIPA[13].TtwrawA153,"1177162840","1177162840","Québec enterprise number (NEQ)"
MJRAW.SLIPA[13].TtwrawA154,"1229117978 IC 0001","1229117978 IC 0001","Québec identification number"
MJRAW.SLIPA[13].TtwrawA469,"1,952,702","259,216","Paid-up capital of the second prior taxation year"
MJRAW.SLIPA[13].TtwrawA470,"1,659,636","1,952,702","Paid-up capital of prior taxation year"
MJRAW.SLIPA[13].TtwrawA13,"2,358,229","274,734","Assets as per the financial statements of the second prior taxation year"
MJRAW.SLIPA[13].TtwrawA162,"President","President","Title or position of authorized representative"
